Files stored on S3: 24114
Total size stored:  81.8858743049204 GB
Content stored:
2016-07-28 12:24:19     207104 targeted-backup/rich/D/My Pictures/DPSI Logos/final/title slide.JPG
2019-08-31 12:32:55         34 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/.picasa.ini
2016-07-28 12:24:20       9645 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/HRULER01.JPG
2016-07-28 12:24:21       1376 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/HRULER02.JPG
2016-07-28 12:24:21       5105 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/HRULER03.GIF
2016-07-28 12:24:22       3582 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/HRULER04.JPG
2016-07-28 12:24:22      27191 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/Image1.jpg
2016-07-28 12:24:22      15806 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/Image10.jpg
2016-07-28 12:24:22      38636 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/Image2.jpg
2016-07-28 12:24:23      26365 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/Image3.jpg
2016-07-28 12:24:24      23552 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/Thumbs.db
2016-07-28 12:24:25      23039 targeted-backup/rich/D/My Pictures/DPSI Logos/headers with chip/header with chip.jpg
2016-07-28 12:24:25        628 targeted-backup/rich/D/My Pictures/DPSI Logos/mslogo.gif
2016-07-28 12:24:26      41397 targeted-backup/rich/D/My Pictures/DPSI Logos/pspbrwse.jbf
2019-08-31 12:32:55        504 targeted-backup/rich/D/My Pictures/Desktop.ini
2016-07-28 12:24:28     385831 targeted-backup/rich/D/My Pictures/Digital Signature.psd
2016-07-28 12:24:29     909644 targeted-backup/rich/D/My Pictures/Hall porch.jpg
2019-08-31 12:32:55         28 targeted-backup/rich/D/My Pictures/Harral Hall/.picasa.ini
2016-07-28 12:24:33    2762893 targeted-backup/rich/D/My Pictures/Harral Hall/Harral_Hall.jpg
2016-07-28 12:24:33   21463548 targeted-backup/rich/D/My Pictures/Harral Hall/harral_.TIF
2018-06-09 07:27:42    3587056 targeted-backup/rich/D/My Pictures/IMG_0715.JPG
2018-06-09 07:27:42    3488741 targeted-backup/rich/D/My Pictures/IMG_0716.JPG
2018-06-09 10:28:49    5915012 targeted-backup/rich/D/My Pictures/IMG_0716.r1.jpg
2018-06-09 10:28:49  141158148 targeted-backup/rich/D/My Pictures/IMG_0716.r1.psd
2019-08-31 12:32:56         72 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/.picasa.ini
2017-01-08 12:15:11     159483 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1430.jpg
2017-01-08 12:15:11     155953 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1431.jpg
2017-01-08 12:15:07     175664 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1436.jpg
2017-01-08 12:15:12     177891 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1437.jpg
2017-01-08 12:15:11     184009 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1439.jpg
2017-01-08 12:15:23     177946 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1440.jpg
2017-01-08 12:15:28     122920 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1445.jpg
2017-01-08 12:15:28     123410 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1446.jpg
2017-01-08 12:15:37     122434 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1447.jpg
2017-01-08 12:15:40     175184 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1453.jpg
2017-01-08 12:15:40     130366 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1454.jpg
2017-01-08 12:15:41     149320 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1455.jpg
2017-01-08 12:15:43     181601 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1456.jpg
2017-01-08 12:15:47     182525 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1458.jpg
2017-01-08 12:15:50      78060 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1460.jpg
2017-01-08 12:15:57      81925 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1462.jpg
2017-01-08 12:15:57      81450 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1463.jpg
2017-01-08 12:15:57      68692 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1467.jpg
2017-01-08 12:16:04     154257 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1470.jpg
2017-01-08 12:16:04     170516 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1472.jpg
2017-01-08 12:16:06     150800 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1475.jpg
2017-01-08 12:16:10     134520 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/images/img_1477.jpg
2017-01-08 12:16:12       3497 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/index.html
2017-01-08 12:16:12        856 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/style.css
2017-01-08 12:16:15        722 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target0.html
2017-01-08 12:16:15        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target1.html
2017-01-08 12:16:17        777 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target10.html
2017-01-08 12:16:17        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target11.html
2017-01-08 12:16:18        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target12.html
2017-01-08 12:16:18        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target13.html
2017-01-08 12:16:18        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target14.html
2017-01-08 12:16:19        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target15.html
2017-01-08 12:16:20        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target16.html
2017-01-08 12:16:20        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target17.html
2017-01-08 12:16:20        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target18.html
2017-01-08 12:16:20        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target19.html
2017-01-08 12:16:21        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target2.html
2017-01-08 12:16:22        778 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target20.html
2017-01-08 12:16:22        722 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target21.html
2017-01-08 12:16:30        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target3.html
2017-01-08 12:16:22        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target4.html
2017-01-08 12:16:22        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target5.html
2017-01-08 12:16:22        776 targeted-backup/rich/D/My Pictures/Jessica and David Maternity/target6.html
